District,Reg Voters,AMURIAT,KABULETA,KALEMBE,KATUMBA,KYAGULANYI,NOBERT,MAYAMBALA,MUNTU,MWESIGYE,TUMUKUNDE,YOWERI,ValidVotes,InvalidVotes,TotalVotes,Received Station,,Vvotes,Ivotes
058 AMURIA,88722,16637,319,214,115,3380,215,108,278,219,385,34666,56536,2216,58752,"215/
215",,96.22821351,3.771786492
059 BUKWO,44126,451,73,80,43,3032,56,72,80,52,93,27888,31920,975,32895,"140/
140",,97.03602371,2.963976288
060 BUTALEJA,110737,641,351,239,200,29037,159,80,147,149,287,37856,69146,2098,71244,"204/
204",,97.05519061,2.944809387
061 IBANDA,140486,958,136,134,353,7702,159,40,1419,97,240,77521,88759,2042,90801,"280/
280",,97.75112609,2.248873911
062 ISINGIRO,233099,1351,132,108,313,8769,129,30,845,206,228,188609,200720,2410,203130,"508/
509",,98.81356767,1.186432334
063 KAABONG,41211,318,75,74,61,1218,140,659,145,146,848,26100,29784,3221,33005,"136/
136",,90.2408726,9.759127405
064 KALIRO,109466,728,126,457,121,27032,122,34,124,247,230,38189,67410,3094,70504,"259/
259",,95.61159651,4.388403495
065 KIRUHURA,81891,78,1,16,31,616,7,1,155,8,36,75483,76432,311,76743,"189/
189",,99.59475131,0.405248687
066 KOBOKO,92845,545,322,247,149,10719,247,215,342,155,555,34410,47906,2933,50839,"190/
190",,94.23080706,5.769192942
067 MANAFWA,79924,1598,110,128,91,13740,104,32,66,132,128,32999,49128,1849,50977,"211/
211",,96.37287404,3.627125959
068 MITYANA,176029,307,85,90,256,72955,260,37,189,81,194,38163,112617,3516,116133,"337/
337",,96.97243678,3.027563225
069 NAKASEKE,107133,130,69,65,124,32063,204,32,97,64,172,38009,71029,2896,73925,"253/
253",,96.08251606,3.917483936
070 ABIM,36539,433,71,66,179,3956,395,35,63,41,95,18254,23588,875,24463,"105/
105",,96.42316968,3.576830315
071 AMURU,87122,3825,476,267,238,7466,2334,381,492,321,476,18742,35018,3103,38121,"170/
170",,91.86012959,8.139870413
072 BUDAKA,100900,825,307,357,181,27281,157,184,193,326,258,33261,63330,0,63330,"190/
190",,100,0
073 BULIISA,44869,355,194,86,50,6152,89,17,104,80,187,19316,26630,1696,28326,"96/
96",,94.01256796,5.987432041
074 DOKOLO,93712,2542,870,222,310,15364,420,163,492,264,771,36774,58192,2142,60334,"173/
173",,96.44976299,3.550237014
075 NAMUTUMBA,121149,537,219,595,157,27504,151,131,196,350,224,38427,68491,2936,71427,"243/
243",,95.88950957,4.110490431
076 OYAM,184088,1450,587,1762,545,27351,819,236,992,490,939,62292,97463,5411,102874,"334/
334",,94.74016758,5.259832416
077 MARACHA,101182,1100,364,840,282,10127,388,248,527,263,493,33674,48306,4764,53070,"202/
202",,91.02317694,8.976823064
078 BUDUDA,73039,421,83,85,62,14666,57,31,87,81,318,29224,45115,1432,46547,"208/
208",,96.92353965,3.076460352
079 BUKEDEA,99828,14331,389,64,126,4980,118,46,227,246,459,37590,58576,3148,61724,"180/
180",,94.89987687,5.100123129
080 LYANTONDE,51076,117,61,30,69,7726,25,24,137,57,58,23967,32271,798,33069,"111/
112",,97.58686383,2.41313617
081 AMUDAT,43647,47,4,6,6,625,7,4,10,20,27,30451,31207,246,31453,"120/
120",,99.21788065,0.782119353
